Platform,count,best_game_name,best_game_sales,total_sales
PS2,318,['Grand Theft Auto: San Andreas'],[20.81],782.3299999999999
X360,226,['Kinect Adventures!'],[21.82],672.27
Wii,152,['Wii Sports'],[82.74],630.59
PS3,236,['Grand Theft Auto V'],[21.4],628.1000000000001
DS,138,['New Super Mario Bros.'],[30.01],472.42
PS,196,['Gran Turismo'],[10.95],453.54999999999995
GB,53,['Pokemon Red/Pokemon Blue'],[31.37],238.98999999999998
NES,71,['Super Mario Bros.'],[40.24],233.81000000000003
PS4,70,['Call of Duty: Black Ops 3'],[14.24],216.27
3DS,46,['Pokemon X/Pokemon Y'],[14.35],160.42999999999998
GBA,69,['Pokemon Ruby/Pokemon Sapphire'],[15.85],158.90000000000003
PC,67,['The Sims 3'],[8.11],152.83
SNES,46,['Super Mario World'],[20.61],143.35999999999999
N64,49,['Super Mario 64'],[11.89],140.70999999999998
PSP,54,['Grand Theft Auto: Liberty City Stories'],[7.72],111.1
XOne,42,['Call of Duty: Black Ops 3'],[7.3],97.96000000000001
GC,45,['Super Smash Bros. Melee'],[7.07],93.78000000000002
XB,51,['Halo 2'],[8.49],90.53999999999999
2600,26,['Pac-Man'],[7.81],51.46999999999999
WiiU,17,['Mario Kart 8'],[6.96],48.370000000000005
GEN,11,['Sonic the Hedgehog 2'],[6.03],26.79
PSV,7,['Minecraft'],[2.25],11.16
DC,6,['Sonic Adventure'],[2.42],8.84
SAT,3,['Virtua Fighter 2'],[1.93],4.16
SCD,1,['Sonic CD'],[1.5],1.5
